period|nome|value|id
2019.09|Massa de rend. real de todos os trabalhos hab. mensal|221.257|1347352673
2019.10|Massa de rend. real de todos os trabalhos hab. mensal|223.635|1347352673
2019.11|Massa de rend. real de todos os trabalhos hab. mensal|225.605|1347352673
2019.12|Massa de rend. real de todos os trabalhos hab. mensal|225.477|1347352673
2020.01|Massa de rend. real de todos os trabalhos hab. mensal|225.240|1347352673
2020.02|Massa de rend. real de todos os trabalhos hab. mensal|224.277|1347352673
2020.03|Massa de rend. real de todos os trabalhos hab. mensal|222.505|1347352673
2020.04|Massa de rend. real de todos os trabalhos hab. mensal|217.709|1347352673
2020.05|Massa de rend. real de todos os trabalhos hab. mensal|213.000|1347352673
2020.06|Massa de rend. real de todos os trabalhos hab. mensal|210.108|1347352673
2020.07|Massa de rend. real de todos os trabalhos hab. mensal|209.419|1347352673
2020.08|Massa de rend. real de todos os trabalhos hab. mensal|208.277|1347352673
2020.09|Massa de rend. real de todos os trabalhos hab. mensal|210.312|1347352673
2020.10|Massa de rend. real de todos os trabalhos hab. mensal|211.696|1347352673
2020.11|Massa de rend. real de todos os trabalhos hab. mensal|212.229|1347352673
2020.12|Massa de rend. real de todos os trabalhos hab. mensal|210.724|1347352673
