DCM_HUB_REACH_BBI

Date/Time Generated,3/7/21 9:35 PM
Report Time Zone,America/Sao_Paulo
Account ID,563003
Date Range,1/1/21 - 3/7/21
Advertiser,Equals:Performance | Abertura de Conta PF (9599074)
Advertiser,Equals:Performance | Acordo (Renegociacao) (9595141)
Advertiser,Equals:Performance | Cartoes de Credito (9595196)
MRC Accredited Metrics,None,Active View metrics are accredited only when Measurement Source = Measured
"Reporting numbers are finalized after seven days, unless communicated otherwise."

Report Fields
Advertiser,Country,Month,Unique Reach: Impression Reach,Unique Reach: Click Reach,Unique Reach: Total Reach
Performance | Abertura de Conta PF,Iceland,2021-03,-,0,-
Performance | Abertura de Conta PF,India,2021-01,1327,933,2249
Performance | Abertura de Conta PF,India,2021-02,3776,-,3831
Performance | Abertura de Conta PF,India,2021-03,312,-,331
Performance | Abertura de Conta PF,Indonesia,2021-01,452,-,491
Performance | Abertura de Conta PF,Indonesia,2021-02,127,-,147
Performance | Abertura de Conta PF,Indonesia,2021-03,-,-,-
Performance | Abertura de Conta PF,Iraq,2021-01,-,-,-
Performance | Abertura de Conta PF,Iraq,2021-02,-,-,-
Performance | Abertura de Conta PF,Iraq,2021-03,-,0,-
Performance | Abertura de Conta PF,Ireland,2021-01,1095,-,1123
Performance | Abertura de Conta PF,Ireland,2021-02,149,-,212
Performance | Abertura de Conta PF,Ireland,2021-03,165,-,179
Performance | Abertura de Conta PF,Isle Of Man,2021-02,-,0,-
Performance | Abertura de Conta PF,Israel,2021-01,268,-,268
Performance | Abertura de Conta PF,Israel,2021-02,-,-,-
Performance | Abertura de Conta PF,Israel,2021-03,-,-,-
Performance | Abertura de Conta PF,Italy,2021-01,1861,-,1923
Performance | Abertura de Conta PF,Italy,2021-02,224,-,278
Performance | Abertura de Conta PF,Italy,2021-03,312,-,329
Performance | Abertura de Conta PF,Jamaica (BWI),2021-01,-,-,-
Performance | Abertura de Conta PF,Jamaica (BWI),2021-02,-,0,-
Performance | Abertura de Conta PF,Jamaica (BWI),2021-03,-,0,-
Performance | Abertura de Conta PF,Japan,2021-01,2637,-,2690
Performance | Abertura de Conta PF,Japan,2021-02,860,112,962
Performance | Abertura de Conta PF,Japan,2021-03,577,-,594
Performance | Abertura de Conta PF,Jordan,2021-01,-,-,-
Performance | Abertura de Conta PF,Jordan,2021-02,-,0,-
Performance | Abertura de Conta PF,Jordan,2021-03,-,0,-
Performance | Abertura de Conta PF,Kazakhstan,2021-01,-,-,-
Performance | Abertura de Conta PF,Kazakhstan,2021-02,-,-,-
Performance | Abertura de Conta PF,Kazakhstan,2021-03,-,-,-
Performance | Abertura de Conta PF,Kenya,2021-01,-,-,-
Performance | Abertura de Conta PF,Kenya,2021-02,-,-,-
Performance | Abertura de Conta PF,Kenya,2021-03,-,-,-
Performance | Abertura de Conta PF,Kirgistan,2021-01,-,0,-
Performance | Abertura de Conta PF,Kirgistan,2021-03,-,0,-
Performance | Abertura de Conta PF,"Korea, Rep. of (South)",2021-01,138,-,143
Performance | Abertura de Conta PF,"Korea, Rep. of (South)",2021-02,-,-,-
Performance | Abertura de Conta PF,"Korea, Rep. of (South)",2021-03,-,-,-
Performance | Abertura de Conta PF,Kuwait,2021-01,-,-,-
Performance | Abertura de Conta PF,Kuwait,2021-02,-,0,-
Performance | Abertura de Conta PF,Kuwait,2021-03,-,-,-
Performance | Abertura de Conta PF,"Laos, Peoples Dem. Rep. of",2021-01,-,0,-
Performance | Abertura de Conta PF,"Laos, Peoples Dem. Rep. of",2021-02,-,0,-
Performance | Abertura de Conta PF,Latvia,2021-01,-,0,-
Performance | Abertura de Conta PF,Latvia,2021-02,-,0,-
Performance | Abertura de Conta PF,Lebanon,2021-01,-,-,-
Performance | Abertura de Conta PF,Lebanon,2021-02,-,-,-
Performance | Abertura de Conta PF,Lebanon,2021-03,-,-,-
Performance | Abertura de Conta PF,Lesotho,2021-02,-,0,-
Performance | Abertura de Conta PF,Liberia,2021-01,-,0,-
Performance | Abertura de Conta PF,Liberia,2021-02,-,0,-
Performance | Abertura de Conta PF,Libyan Arab Jamahiriya,2021-01,-,-,-
Performance | Abertura de Conta PF,Libyan Arab Jamahiriya,2021-02,-,-,-
Performance | Abertura de Conta PF,Liechtenstein,2021-01,-,0,-
Performance | Abertura de Conta PF,Liechtenstein,2021-02,-,0,-
Performance | Abertura de Conta PF,Lithuania,2021-01,-,0,-
Performance | Abertura de Conta PF,Lithuania,2021-02,-,0,-
Performance | Abertura de Conta PF,Lithuania,2021-03,-,0,-
Performance | Abertura de Conta PF,Luxembourg,2021-01,-,-,-
Performance | Abertura de Conta PF,Luxembourg,2021-02,-,-,-
Performance | Abertura de Conta PF,Luxembourg,2021-03,-,-,-
Performance | Abertura de Conta PF,Macao (Macau),2021-01,-,0,-
Performance | Abertura de Conta PF,Macao (Macau),2021-02,-,-,-
Performance | Abertura de Conta PF,Macao (Macau),2021-03,-,0,-
Performance | Abertura de Conta PF,Macedonia,2021-01,-,-,-
Performance | Abertura de Conta PF,Macedonia,2021-02,-,-,-
Performance | Abertura de Conta PF,Macedonia,2021-03,-,0,-
Performance | Abertura de Conta PF,"Madagascar, Dem. Rep.",2021-01,-,-,-
Performance | Abertura de Conta PF,"Madagascar, Dem. Rep.",2021-02,-,0,-
Performance | Abertura de Conta PF,"Madagascar, Dem. Rep.",2021-03,-,0,-
Performance | Abertura de Conta PF,Malawi,2021-02,-,0,-
Performance | Abertura de Conta PF,Malaysia,2021-01,-,-,-
Performance | Abertura de Conta PF,Malaysia,2021-02,-,-,-
Performance | Abertura de Conta PF,Malaysia,2021-03,-,0,-
Performance | Abertura de Conta PF,Maldives,2021-01,-,-,-
Performance | Abertura de Conta PF,Maldives,2021-02,-,-,-
Performance | Abertura de Conta PF,Maldives,2021-03,-,0,-
Performance | Abertura de Conta PF,"Mali, Rep. of",2021-01,-,-,-
Performance | Abertura de Conta PF,"Mali, Rep. of",2021-02,-,-,-
Performance | Abertura de Conta PF,"Mali, Rep. of",2021-03,-,0,-
Performance | Abertura de Conta PF,Malta,2021-01,-,-,-
Performance | Abertura de Conta PF,Malta,2021-02,-,0,-
Performance | Abertura de Conta PF,Malta,2021-03,-,0,-
Performance | Abertura de Conta PF,Martinique (French Ant.),2021-01,-,-,-
Performance | Abertura de Conta PF,Martinique (French Ant.),2021-02,-,-,-
Performance | Abertura de Conta PF,Martinique (French Ant.),2021-03,-,0,-
Performance | Abertura de Conta PF,"Mauritania, Islamic Rep.",2021-01,0,-,-
Performance | Abertura de Conta PF,"Mauritania, Islamic Rep.",2021-02,-,0,-
Performance | Abertura de Conta PF,Mauritius Is.,2021-01,-,0,-
Performance | Abertura de Conta PF,Mauritius Is.,2021-02,-,0,-
Performance | Abertura de Conta PF,Mauritius Is.,2021-03,-,0,-
Performance | Abertura de Conta PF,Mexico,2021-01,-,9890,13153
Performance | Abertura de Conta PF,Mexico,2021-02,2762,-,2813
Performance | Abertura de Conta PF,Mexico,2021-03,350,-,398
