tempo|goal|account_id|account_name|webproperty_id|webproperty_name|webproperty_level|webproperty_website_url|profile_currency|profile_type|profile_website_url|profile_id|profile_name|assistedConversions|upload_time|info|period
20201204|018|101785796|BR - Santander|UA-101785796-1|BR - Santander - Web|PREMIUM|http://www.santander.com.br|BRL|WEB|http://www.santander.com.br|169440724|BR - Santander - Web - Cartões|8893|2021-02-23 19:14:38.068518|basic|day
20201204|019|101785796|BR - Santander|UA-101785796-1|BR - Santander - Web|PREMIUM|http://www.santander.com.br|BRL|WEB|http://www.santander.com.br|169440724|BR - Santander - Web - Cartões|16708|2021-02-23 19:14:38.068518|basic|day
20201205|(not set)|101785796|BR - Santander|UA-101785796-1|BR - Santander - Web|PREMIUM|http://www.santander.com.br|BRL|WEB|http://www.santander.com.br|169440724|BR - Santander - Web - Cartões|5204843|2021-02-23 19:14:38.068518|basic|day
20201205|002|101785796|BR - Santander|UA-101785796-1|BR - Santander - Web|PREMIUM|http://www.santander.com.br|BRL|WEB|http://www.santander.com.br|169440724|BR - Santander - Web - Cartões|396|2021-02-23 19:14:38.068518|basic|day
20201205|003|101785796|BR - Santander|UA-101785796-1|BR - Santander - Web|PREMIUM|http://www.santander.com.br|BRL|WEB|http://www.santander.com.br|169440724|BR - Santander - Web - Cartões|3|2021-02-23 19:14:38.068518|basic|day
20201205|004|101785796|BR - Santander|UA-101785796-1|BR - Santander - Web|PREMIUM|http://www.santander.com.br|BRL|WEB|http://www.santander.com.br|169440724|BR - Santander - Web - Cartões|1|2021-02-23 19:14:38.068518|basic|day
20201205|005|101785796|BR - Santander|UA-101785796-1|BR - Santander - Web|PREMIUM|http://www.santander.com.br|BRL|WEB|http://www.santander.com.br|169440724|BR - Santander - Web - Cartões|4|2021-02-23 19:14:38.068518|basic|day
20201205|006|101785796|BR - Santander|UA-101785796-1|BR - Santander - Web|PREMIUM|http://www.santander.com.br|BRL|WEB|http://www.santander.com.br|169440724|BR - Santander - Web - Cartões|1|2021-02-23 19:14:38.068518|basic|day
20201205|008|101785796|BR - Santander|UA-101785796-1|BR - Santander - Web|PREMIUM|http://www.santander.com.br|BRL|WEB|http://www.santander.com.br|169440724|BR - Santander - Web - Cartões|4|2021-02-23 19:14:38.068518|basic|day
20201205|009|101785796|BR - Santander|UA-101785796-1|BR - Santander - Web|PREMIUM|http://www.santander.com.br|BRL|WEB|http://www.santander.com.br|169440724|BR - Santander - Web - Cartões|2|2021-02-23 19:14:38.068518|basic|day
20201205|012|101785796|BR - Santander|UA-101785796-1|BR - Santander - Web|PREMIUM|http://www.santander.com.br|BRL|WEB|http://www.santander.com.br|169440724|BR - Santander - Web - Cartões|417|2021-02-23 19:14:38.068518|basic|day
20201205|013|101785796|BR - Santander|UA-101785796-1|BR - Santander - Web|PREMIUM|http://www.santander.com.br|BRL|WEB|http://www.santander.com.br|169440724|BR - Santander - Web - Cartões|10013|2021-02-23 19:14:38.068518|basic|day
