ano_mes|year|page_path|account_id|account_name|webproperty_id|webproperty_name|webproperty_level|webproperty_website_url|profile_currency|profile_type|profile_website_url|profile_id|profile_name|users|bounces|new_users|pageviews|sessions|time_on_page|unique_pageviews|upload_time|info|period
12|2020|/poa/agenda/exposicoes/exp_3?utm_mmm=:m6568-g16500-p16500[t550]5947:&utm_adid=m6568-16500-1&utm_publisher_id=|101785796|BR - Santander|UA-101785796-8|BR - Santander - Farol Santander|STANDARD|https://www.farolsantander.com.br|BRL|WEB|https://www.farolsantander.com.br|218018311|All Website data|21|21|19|21|21|0.0|21|2021-02-21 23:33:18.052801|basic|month
12|2020|/poa/agenda/exposicoes/exp_3?utm_mmm=:m6569-g16225-p16225[t550]5948:&utm_adid=m6569-16225-1&utm_publisher_id=|101785796|BR - Santander|UA-101785796-8|BR - Santander - Farol Santander|STANDARD|https://www.farolsantander.com.br|BRL|WEB|https://www.farolsantander.com.br|218018311|All Website data|18|17|18|18|18|24.0|18|2021-02-21 23:33:18.052801|basic|month
12|2020|/poa/agenda/exposicoes/exp_3?utm_mmm=:m6569-g16229-p16229[t550]5948:&utm_adid=m6569-16229-1&utm_publisher_id=|101785796|BR - Santander|UA-101785796-8|BR - Santander - Farol Santander|STANDARD|https://www.farolsantander.com.br|BRL|WEB|https://www.farolsantander.com.br|218018311|All Website data|15|15|15|15|15|0.0|15|2021-02-21 23:33:18.052801|basic|month
12|2020|/poa/agenda/exposicoes/exp_3?utm_mmm=:m6569-g16507-p16507[t550]5948:&utm_adid=m6569-16507-1&utm_publisher_id=|101785796|BR - Santander|UA-101785796-8|BR - Santander - Farol Santander|STANDARD|https://www.farolsantander.com.br|BRL|WEB|https://www.farolsantander.com.br|218018311|All Website data|19|19|18|19|19|0.0|19|2021-02-21 23:33:18.052801|basic|month
12|2020|/poa/agenda/exposicoes/exp_3?utm_mmm=:m6569-g16539-p16539[t550]5948:&utm_adid=m6569-16539-1&utm_publisher_id=|101785796|BR - Santander|UA-101785796-8|BR - Santander - Farol Santander|STANDARD|https://www.farolsantander.com.br|BRL|WEB|https://www.farolsantander.com.br|218018311|All Website data|65|66|64|68|67|737.0|67|2021-02-21 23:33:18.052801|basic|month
12|2020|/poa/contato|101785796|BR - Santander|UA-101785796-8|BR - Santander - Farol Santander|STANDARD|https://www.farolsantander.com.br|BRL|WEB|https://www.farolsantander.com.br|218018311|All Website data|55|5|4|75|6|3225.0|58|2021-02-21 23:33:18.052801|basic|month
12|2020|/poa/eventos|101785796|BR - Santander|UA-101785796-8|BR - Santander - Farol Santander|STANDARD|https://www.farolsantander.com.br|BRL|WEB|https://www.farolsantander.com.br|218018311|All Website data|63|6|5|71|7|2691.0|66|2021-02-21 23:33:18.052801|basic|month
12|2020|/poa/o-farol/atrio|101785796|BR - Santander|UA-101785796-8|BR - Santander - Farol Santander|STANDARD|https://www.farolsantander.com.br|BRL|WEB|https://www.farolsantander.com.br|218018311|All Website data|68|43|53|69|53|396.0|68|2021-02-21 23:33:18.052801|basic|month
12|2020|/poa/o-farol/cine-farol-santander|101785796|BR - Santander|UA-101785796-8|BR - Santander - Farol Santander|STANDARD|https://www.farolsantander.com.br|BRL|WEB|https://www.farolsantander.com.br|218018311|All Website data|48|11|14|65|14|2952.0|51|2021-02-21 23:33:18.052801|basic|month
12|2020|/poa/o-farol/galeria|101785796|BR - Santander|UA-101785796-8|BR - Santander - Farol Santander|STANDARD|https://www.farolsantander.com.br|BRL|WEB|https://www.farolsantander.com.br|218018311|All Website data|59|8|6|78|11|2822.0|64|2021-02-21 23:33:18.052801|basic|month
